Cell:,DLLx3_ASAP7_75t_R,Width:,22,HPWL:,44.00
Name,X,Y,Orient,Row,Flipped
MM24,0.000,0.0,R0,NMOS,False
MM25,0.000,1.0,MX,PMOS,False
MM3,0.486,1.0,MX_R180,PMOS,True
MM5,0.486,0.0,R0,NMOS,False
MM1,0.648,1.0,MX_R180,PMOS,True
MM4,0.648,0.0,MY,NMOS,True
MM6,0.810,0.0,MY,NMOS,True
MM7,0.810,1.0,MX,PMOS,False
MM9,0.864,0.0,R0,NMOS,False
MM10,0.864,1.0,MX,PMOS,False
MM22,0.918,1.0,MX_R180,PMOS,True
MM23,0.918,0.0,R0,NMOS,False
MM20,1.026,0.0,MY,NMOS,True
MM11,1.026,1.0,MX_R180,PMOS,True
MM21,1.080,1.0,MX,PMOS,False
MM8,1.134,0.0,MY,NMOS,True
