Cell:,OAI333xp33_ASAP7_75t_R,Width:,27,HPWL:,89.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX_R180,PMOS,True
MM10,0.162,1.0,MX,PMOS,False
MM12,0.324,1.0,MX,PMOS,False
MM13,0.486,1.0,MX,PMOS,False
MM3,0.648,1.0,MX,PMOS,False
MM2,0.810,1.0,MX,PMOS,False
MM14,0.972,1.0,MX,PMOS,False
MM16,1.134,1.0,MX_R180,PMOS,True
MM17,1.296,1.0,MX,PMOS,False
MM0,0.000,0.0,R0,NMOS,False
MM1,0.162,0.0,MY,NMOS,True
MM15,0.324,0.0,MY,NMOS,True
MM5,0.486,0.0,R0,NMOS,False
MM6,0.648,0.0,R0,NMOS,False
MM4,0.810,0.0,MY,NMOS,True
MM9,0.972,0.0,R0,NMOS,False
MM8,1.134,0.0,R0,NMOS,False
MM7,1.296,0.0,MY,NMOS,True
