Cell:,AO333x2_ASAP7_75t_R,Width:,33,HPWL:,91.00
Name,X,Y,Orient,Row,Flipped
MM17,0.000,1.0,MX_R180,PMOS,True
MM16,0.162,1.0,MX,PMOS,False
MM15,0.324,1.0,MX_R180,PMOS,True
MM12,0.486,1.0,MX,PMOS,False
MM11,0.648,1.0,MX,PMOS,False
MM13,0.810,1.0,MX,PMOS,False
MM5,0.972,1.0,MX_R180,PMOS,True
MM19,0.000,0.0,R0,NMOS,False
MM6,1.134,1.0,MX,PMOS,False
MM7,1.296,1.0,MX,PMOS,False
MM14,0.162,0.0,MY,NMOS,True
MM18,0.324,0.0,MY,NMOS,True
MM9,0.486,0.0,MY,NMOS,True
MM8,0.648,0.0,MY,NMOS,True
MM0,0.810,0.0,MY,NMOS,True
MM10,0.972,0.0,MY,NMOS,True
MM1,1.134,0.0,MY,NMOS,True
MM2,1.296,0.0,MY,NMOS,True
MM4,1.458,1.0,MX_R180,PMOS,True
MM3,1.458,0.0,R0,NMOS,False
