Cell:,AOI333xp33_ASAP7_75t_R,Width:,27,HPWL:,86.00
Name,X,Y,Orient,Row,Flipped
MM7,0.000,1.0,MX_R180,PMOS,True
MM9,0.162,1.0,MX_R180,PMOS,True
MM8,0.324,1.0,MX,PMOS,False
MM1,0.486,1.0,MX,PMOS,False
MM6,0.648,1.0,MX,PMOS,False
MM4,0.810,1.0,MX_R180,PMOS,True
MM15,0.972,1.0,MX,PMOS,False
MM5,1.134,1.0,MX_R180,PMOS,True
MM10,0.000,0.0,R0,NMOS,False
MM11,0.162,0.0,MY,NMOS,True
MM0,1.296,1.0,MX,PMOS,False
MM17,0.324,0.0,R0,NMOS,False
MM12,0.486,0.0,R0,NMOS,False
MM16,0.648,0.0,MY,NMOS,True
MM13,0.810,0.0,R0,NMOS,False
MM14,0.972,0.0,R0,NMOS,False
MM3,1.134,0.0,MY,NMOS,True
MM2,1.296,0.0,R0,NMOS,False
