Cell:,DFFHQNx1_ASAP7_75t_R,Width:,20,HPWL:,70.00
Name,X,Y,Orient,Row,Flipped
MM16,0.000,0.0,MY,NMOS,True
MM19,0.000,1.0,MX_R180,PMOS,True
MM18,0.054,1.0,MX_R180,PMOS,True
MM25,0.108,1.0,MX,PMOS,False
MM17,0.054,0.0,R0,NMOS,False
MM24,0.108,0.0,MY,NMOS,True
MM11,0.270,1.0,MX_R180,PMOS,True
MM14,0.270,0.0,R0,NMOS,False
MM8,0.324,0.0,R0,NMOS,False
MM6,0.378,0.0,MY,NMOS,True
MM10,0.324,1.0,MX_R180,PMOS,True
MM15,0.378,1.0,MX,PMOS,False
MM13,0.432,1.0,MX,PMOS,False
MM12,0.432,0.0,MY,NMOS,True
MM7,0.486,1.0,MX,PMOS,False
MM22,0.540,1.0,MX,PMOS,False
MM9,0.486,0.0,R0,NMOS,False
MM20,0.540,0.0,R0,NMOS,False
MM21,0.648,1.0,MX_R180,PMOS,True
MM23,0.648,0.0,MY,NMOS,True
MM1,0.756,1.0,MX,PMOS,False
MM4,0.756,0.0,R0,NMOS,False
MM3,0.918,1.0,MX_R180,PMOS,True
MM5,0.918,0.0,R0,NMOS,False
